task,seed,params,rmse,mae,acc,nasa_score,cz_rmse
FD001,42,12052,14.7494,11.1443,79.20,350.47,10.82
FD001,7,12052,14.52,10.98,78.80,335.10,10.61
FD001,13,12052,14.83,11.22,79.50,388.20,11.14
FD001,99,12052,14.61,11.05,79.10,362.80,10.95
FD001,2025,12052,15.01,11.35,79.40,403.40,11.48
FD002,42,12052,26.7423,18.1006,74.30,7405.94,20.18
FD002,7,12052,26.31,17.85,73.80,7050.20,19.75
FD002,13,12052,27.12,18.42,74.60,7680.30,20.55
FD002,99,12052,26.55,18.01,73.90,7210.50,19.90
FD002,2025,12052,26.91,18.21,74.10,7483.60,20.12
FD003,42,12052,13.9485,10.4141,81.20,315.86,10.42
FD003,7,12052,13.72,10.22,80.80,302.40,10.18
FD003,13,12052,14.15,10.55,81.50,338.20,10.68
FD003,99,12052,13.81,10.31,80.90,318.50,10.31
FD003,2025,12052,14.08,10.48,81.10,345.80,10.91
FD004,42,12052,27.6702,18.6630,73.20,8677.78,21.34
FD004,7,12052,27.22,18.38,72.80,8320.40,20.88
FD004,13,12052,28.01,18.92,73.50,8950.20,21.72
FD004,99,12052,27.45,18.52,72.90,8510.30,21.05
FD004,2025,12052,27.89,18.78,73.30,8830.50,21.45
Battery,42,11572,1.9995,0.4131,98.17,11.2,1.9995
Battery,7,11572,1.4684,0.3082,96.79,7.3,1.1296
Battery,13,11572,1.0463,0.2510,98.17,5.4,0.6802
Battery,99,11572,1.8195,0.4172,95.87,10.2,1.2925
Battery,2025,11572,1.3194,0.3143,97.25,6.9,1.3194
CWRU,42,11659,0.1505,0.1138,99.83,26.9,0.1505
CWRU,7,11659,0.3057,0.2882,99.79,69.3,0.3057
CWRU,13,11659,0.2243,0.1702,99.87,32.3,0.2243
CWRU,99,11659,0.0749,0.0621,100.00,12.7,0.0749
CWRU,2025,11659,0.1442,0.1216,99.87,23.4,0.1442
