model,domain,params,size_kb,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,cz_rmse_mean,cz_rmse_std,acc_mean,acc_std,seeds
NanoSentry,FD001,12052,47.1,14.75,0.30,11.14,0.28,380.0,55.0,11.00,0.90,79.20,1.80,"42,7,13,99,2025"
NanoSentry,FD002,12052,47.1,26.74,0.55,18.10,0.45,7405.9,480.0,20.10,1.40,74.10,2.30,"42,7,13,99,2025"
NanoSentry,FD003,12052,47.1,13.95,0.40,10.41,0.32,340.0,50.0,10.50,0.85,81.00,1.90,"42,7,13,99,2025"
NanoSentry,FD004,12052,47.1,27.67,0.58,18.66,0.48,8677.8,580.0,21.20,1.55,73.10,2.40,"42,7,13,99,2025"
NanoSentry,Battery,11572,45.3,1.53,0.34,0.34,0.06,8.2,2.2,1.28,0.42,97.25,0.87,"42,7,13,99,2025"
NanoSentry,CWRU,11659,45.6,0.18,0.08,0.15,0.08,32.9,19.3,0.18,0.08,99.87,0.07,"42,7,13,99,2025"
LSTM-64,FD001,53825,210.3,16.28,,,,,,,,,,
LSTM-64,FD002,53825,210.3,27.95,,,,,,,,,,
LSTM-64,FD003,53825,210.3,16.02,,,,,,,,,,
LSTM-64,FD004,53825,210.3,27.15,,,,,,,,,,
CNN-32,FD001,7841,30.6,26.47,,,,,,,,,,
CNN-32,FD002,7841,30.6,40.84,,,,,,,,,,
CNN-32,FD003,7841,30.6,24.79,,,,,,,,,,
CNN-32,FD004,7841,30.6,39.62,,,,,,,,,,
Ridge,FD001,,,44.14,,,,,,,,,,
Ridge,FD002,,,54.44,,,,,,,,,,
Ridge,FD003,,,42.43,,,,,,,,,,
Ridge,FD004,,,55.07,,,,,,,,,,
